set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Sneasel,242,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Dialga ex,254,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Giant Cape,320,Uncommon,Tool
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Rocky Helmet,322,Uncommon,Tool
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cyrus,326,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Mars,344,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Heatran,76,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Glaceon ex,106,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Gible,205,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Gabite,207,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Garchomp ex,209,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Crobat,230,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Shaymin,297,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Irida,330,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kakuna,8,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Beedrill ex,10,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Floragato,51,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charizard ex,60,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wiglett,125,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wugtrio ex,127,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu ex,132,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pachirisu,143,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Riolu,210,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Paldean Wooper,236,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Paldean Clodsire ex,238,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Tinkatuff,264,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Tinkaton ex,266,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Bibarel ex,296,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Iono,340,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Red,352,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Litten,78,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Torracat,80,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Incineroar ex,82,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wishiwashi,122,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Alolan Raichu ex,130,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Oricorio,146,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cosmog,180,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lunala ex,184,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Crabrawler,218,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Alolan Muk ex,235,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Excadrill,255,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Klefki,257,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magearna,260,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Rare Candy,314,Uncommon,Item
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Leaf Cape,324,Uncommon,Tool
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lillie,348,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Buzzwole ex,44,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pheromosa,45,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kartana,47,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Rockruff,220,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lycanroc ex,222,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Type: Null,300,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Silvally,302,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Celesteela,304,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Electrical Cord,318,Uncommon,Tool
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lusamine,350,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Flareon,64,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Primarina ex,120,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Swirlix,173,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Slurpuff,175,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Sylveon ex,177,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Milcery,185,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Umbreon,239,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Dragonair,269,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Dragonite ex,271,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Eevee,285,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Snorlax ex,288,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Hoppip,14,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Shuckle ex,23,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cherrim,27,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Horsea,88,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Seadra,90,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lanturn ex,142,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Espeon ex,160,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Phanpy,200,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Donphan ex,202,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Skarmory ex,252,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lugia ex,289,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lyra,332,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Bulbasaur,1,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Bulbasaur,2,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Ivysaur,3,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Ivysaur,4,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Venusaur ex,5,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Weedle,7,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kakuna,8,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kakuna,9,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Beedrill ex,10,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Exeggcute,11,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Exeggcute,12,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Hoppip,14,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Hoppip,15,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Skiploom,17,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Jumpluff,19,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Yanma,21,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Yanmega ex,22,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Shuckle ex,23,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cherubi,26,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cherrim,27,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cherrim,28,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Shaymin,30,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Shaymin,31,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Snivy,32,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Snivy,33,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Servine,35,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Serperior,36,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Serperior,37,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Rowlet,39,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Dartrix,41,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Buzzwole ex,44,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pheromosa,45,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pheromosa,46,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kartana,47,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kartana,48,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Sprigatito,50,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Floragato,51,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Floragato,52,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Meowscarada,54,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charmander,55,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charmander,56,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charmeleon,58,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charizard ex,59,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charizard ex,60,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Growlithe,61,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Growlithe,62,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Flareon,64,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Flareon,65,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Moltres ex,67,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Torkoal,70,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Chimchar,71,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Chimchar,72,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Monferno,73,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Monferno,74,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Heatran,76,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Heatran,77,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Litten,78,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Litten,79,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Torracat,80,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Torracat,81,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Incineroar ex,82,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Squirtle,84,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wartortle,86,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Horsea,88,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Horsea,89,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Seadra,90,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Seadra,91,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Staryu,93,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Staryu,94,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Starmie ex,95,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magikarp,96,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magikarp,97,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Gyarados ex,98,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Vaporeon,100,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Corphish,103,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Crawdaunt,105,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Glaceon ex,106,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Palkia ex,107,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Manaphy,108,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Manaphy,109,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Froakie,111,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Frogadier,113,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Greninja,115,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Popplio,117,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Brionne,119,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Primarina ex,120,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wishiwashi,122,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wishiwashi,123,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wiglett,125,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wiglett,126,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Wugtrio ex,127,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu,128,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu,129,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Alolan Raichu ex,130,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu ex,131,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu ex,132,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magnemite,133,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magnemite,134,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magneton,136,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magnezone,138,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Zapdos ex,139,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Chinchou,141,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Lanturn ex,142,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pachirisu,143,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pachirisu,144,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pachirisu ex,145,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Oricorio,146,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Oricorio,147,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Zeraora,150,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Gastly,152,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Haunter,154,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Jynx,156,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Jynx,157,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Mewtwo ex,158,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Espeon ex,160,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Misdreavus,162,Common,Pokémon
